velocity,mean,rms,std,zero crossing rate,peak velocity,low peak velocity,crest factor,low crest factor
0.293,0.293,0.5412947441089743,0.0,0.0,0.293,0.293,0.5412947441089744,0.5412947441089744
0.295,0.294,0.5422176684690383,0.0010000000000000009,0.0,0.295,0.293,0.5440619462529467,0.5403733906851301
0.256,0.2813333333333333,0.5304086474910956,0.01793197020841701,0.0,0.295,0.256,0.5561749443478905,0.48264673136630504
0.059,0.22575,0.475131560728184,0.09751762661180798,0.0,0.295,0.059,0.6208806662893213,0.12417613325786424
-0.204,0.1398,0.37389838191679836,0.19276244447505844,0.2,0.295,-0.204,0.7889844253609121,-0.5456027890631392
-0.381,0.05300000000000001,0.23021728866442678,0.26198409620942004,0.16666666666666666,0.295,-0.381,1.2813981161510544,-1.6549582449272942
-0.313,0.0007142857142857229,0.0267261241912426,0.27428697916375017,0.14285714285714285,0.295,-0.381,11.03788929098306,-14.25571464360863
-0.257,0.0315,0.17748239349298847,0.2776013328498262,0.125,0.295,-0.381,1.6621367009660826,-2.1466918070104324
-0.213,0.051666666666666666,0.2273030282830976,0.2808973715315494,0.1111111111111111,0.295,-0.381,1.2978269679389767,-1.676176524694068
-0.201,0.06659999999999999,0.2580697580112788,0.2848723924847755,0.1,0.295,-0.381,1.1431017809808897,-1.476345012046505
-0.216,0.08018181818181817,0.28316394223456165,0.2919017722250058,0.09090909090909091,0.295,-0.381,1.041799311282486,-1.345510296944499
-0.204,0.09049999999999998,0.30083217912982646,0.29743024392283984,0.08333333333333333,0.295,-0.381,0.9806131805889371,-1.2664868535741867
-0.203,0.09915384615384615,0.3148870371321216,0.30272670120308476,0.07692307692307693,0.295,-0.381,0.936843900234047,-1.2099577152175318
-0.206,0.10678571428571428,0.32678083524851065,0.3081403818034228,0.07142857142857142,0.295,-0.381,0.9027457187801667,-1.1659190469669272
-0.118,0.10753333333333333,0.32792275513195684,0.30382569564362616,0.06666666666666667,0.295,-0.381,0.8996021025783689,-1.1618589867198597
0.021,0.0995,0.3154362059117501,0.2893905233417293,0.125,0.295,-0.381,0.935212871798656,-1.2078512005264
0.108,0.08729411764705883,0.29545577951202584,0.2727890169175897,0.11764705882352941,0.295,-0.381,0.9984573680948851,-1.2895330754039025
0.155,0.07383333333333333,0.2717228980659034,0.25763890536088596,0.1111111111111111,0.295,-0.381,1.085664852317492,-1.402163758416829
0.201,0.05936842105263157,0.24365635853109102,0.24513484332657073,0.10526315789473684,0.295,-0.381,1.21072153330387,-1.5636776413178795
0.253,0.04375,0.2091650066335189,0.23660946198324365,0.1,0.295,-0.381,1.4103697590145845,-1.8215284006256158
0.303,0.02723809523809523,0.16503967776899964,0.23333876572879342,0.09523809523809523,0.303,-0.381,1.835922149727526,-2.3085357724296616
0.302,0.012272727272727267,0.11078234188139943,0.23333461235383415,0.09090909090909091,0.303,-0.381,2.735092929560774,-3.4391762579625573
0.3,0.0013043478260869625,0.036115755925730846,0.23570531247496843,0.08695652173913043,0.303,-0.381,8.389690101547236,-10.54941230590593
0.211,0.010041666666666666,0.10020811677038276,0.234516431401346,0.08333333333333333,0.303,-0.381,3.02370715831628,-3.802087218872946
-0.032,0.00836,0.09143303560529968,0.22992588023099966,0.12,0.303,-0.381,3.3139006923930387,-4.166984038949663
-0.267,0.0022307692307692315,0.04723101979387309,0.2316389891658465,0.11538461538461539,0.303,-0.381,6.415275412691932,-8.066732449622528
-0.397,0.016851851851851854,0.12981468272831026,0.24154562315604816,0.1111111111111111,0.303,-0.397,2.334096526154519,-3.0582056794829837
-0.322,0.027750000000000004,0.16658331248957683,0.2478955893401206,0.10714285714285714,0.303,-0.397,1.8189096823186224,-2.383191893995027
-0.19,0.033344827586206896,0.1826056614297785,0.24836085709886388,0.10344827586206896,0.303,-0.397,1.6593132854017205,-2.174083743579152
-0.153,0.037333333333333336,0.19321835661585918,0.24771798481337606,0.1,0.303,-0.397,1.5681739836055,-2.05467020294186
-0.149,0.040935483870967744,0.20232519336693527,0.24714684071233745,0.0967741935483871,0.303,-0.397,1.4975890790351636,-1.962187671211089
-0.153,0.0444375,0.21080203983832793,0.24689739613602651,0.09375,0.303,-0.397,1.4373674952689366,-1.883283483900224
-0.154,0.047757575757575756,0.21853506756943097,0.2468351074055996,0.09090909090909091,0.303,-0.397,1.386505165372297,-1.8166420813623827
-0.13,0.050176470588235295,0.22400105041770518,0.2460580500894877,0.08823529411764706,0.303,-0.397,1.3526722282550987,-1.7723131175487599
-0.095,0.051457142857142854,0.22684166913762308,0.2442925613075521,0.08571428571428572,0.303,-0.397,1.3357334265433052,-1.7501193740517895
-0.04,0.051138888888888887,0.2261390919078099,0.24122241254662638,0.08333333333333333,0.303,-0.397,1.3398833321729442,-1.7555567091506894
0.052,0.04835135135135135,0.21988940709218202,0.23678834788618222,0.10810810810810811,0.303,-0.397,1.377965423650337,-1.8054530468289893
0.105,0.04431578947368421,0.21051315748352692,0.23226285973241684,0.10526315789473684,0.303,-0.397,1.4393399615589841,-1.8858678704254677
0.141,0.03956410256410256,0.19890727127006333,0.22809631516989232,0.10256410256410256,0.303,-0.397,1.523322893453233,-1.995904913204401
0.16,0.034575,0.1859435398178705,0.22444368308107937,0.1,0.303,-0.397,1.629526899922336,-2.1350566972579785
0.165,0.02970731707317073,0.1723581070712101,0.2212670021900682,0.0975609756097561,0.303,-0.397,1.7579677866548797,-2.303343931689727
0.201,0.024214285714285712,0.15560940111151933,0.2189287112560728,0.09523809523809523,0.303,-0.397,1.947183125413171,-2.5512597385776536
0.223,0.018465116279069767,0.13588640947155006,0.2174314062901669,0.09302325581395349,0.303,-0.397,2.2298035629783697,-2.921557803638326
0.194,0.013636363636363634,0.11677484162422844,0.2159063062021377,0.09090909090909091,0.303,-0.397,2.594736980890356,-3.399704889153371
0.172,0.009511111111111109,0.09752492558885195,0.21438979384220627,0.08888888888888889,0.303,-0.397,3.1068980383270945,-4.07075419543187
0.117,0.006760869565217389,0.08222450708406459,0.21244533267685942,0.08695652173913043,0.303,-0.397,3.6850327322755394,-4.828244206974882
0.054,0.005468085106382976,0.07394650165074056,0.21021482900185004,0.0851063829787234,0.303,-0.397,4.097556926101933,-5.368746203506493
-0.085,0.007125000000000002,0.08440971508067067,0.20852968663558036,0.10416666666666667,0.303,-0.397,3.589634199220099,-4.7032500894071925
-0.244,0.01195918367346939,0.10935805262288364,0.20998115779890963,0.10204081632653061,0.303,-0.397,2.7707150295084526,-3.630276787837808
-0.346,0.01864,0.1365283853270081,0.21500332276502146,0.1,0.303,-0.397,2.219318709983018,-2.9078202239711493
-0.243,0.02303921568627451,0.15178674410591497,0.21690633359767675,0.09803921568627451,0.303,-0.397,1.9962217503563435,-2.6155116663084765
-0.176,0.02598076923076923,0.16118551185131136,0.21726132163525613,0.09615384615384616,0.303,-0.397,1.8798215579047086,-2.4630005230632652
-0.112,0.02760377358490566,0.1661438340261403,0.21644320193843317,0.09433962264150944,0.303,-0.397,1.8237210052124315,-2.389495838512658
-0.084,0.028648148148148152,0.1692576383746038,0.21524254430910827,0.09259259259259259,0.303,-0.397,1.7901703161507865,-2.345536684857631
-0.125,0.030400000000000003,0.17435595774162696,0.21477008425502164,0.09090909090909091,0.303,-0.397,1.7378241840695052,-2.2769511586653253
-0.11,0.03182142857142857,0.17838561761372068,0.21408740526204884,0.08928571428571429,0.303,-0.397,1.6985674296686937,-2.225515741183074
-0.104,0.03308771929824562,0.1819003004347316,0.21335171175452813,0.08771929824561403,0.303,-0.397,1.6657476610860282,-2.1825142622150273
-0.03,0.03303448275862069,0.18175390713440162,0.2116500122965103,0.08620689655172414,0.303,-0.397,1.6670893340187756,-2.1842721637143696
0.047,0.03167796610169492,0.177983050040432,0.20944225189824242,0.1016949152542373,0.303,-0.397,1.7024093020721254,-2.230549481592851
0.071,0.029966666666666673,0.17310882896798382,0.20725025934845054,0.1,0.303,-0.397,1.750343999242461,-2.2933550089084394
0.068,0.02836065573770492,0.16840622238416525,0.2051523145979507,0.09836065573770492,0.303,-0.397,1.799220929668512,-2.3573950794666647
0.068,0.026806451612903227,0.1637267590007914,0.2031376844274527,0.0967741935483871,0.303,-0.397,1.8506443409078623,-2.424771628186209
0.077,0.02515873015873016,0.1586150376185378,0.201199843869451,0.09523809523809523,0.303,-0.397,1.9102854593692542,-2.502915271846845
0.107,0.023093750000000003,0.15196627915429134,0.1993953237094278,0.09375,0.303,-0.397,1.9938633865764663,-2.612421664920321
0.155,0.020353846153846156,0.14266690630221907,0.19794931034852234,0.09230769230769231,0.303,-0.397,2.1238282083312203,-2.7827056062953615
0.197,0.01706060606060606,0.13061625496317852,0.19704678444904397,0.09090909090909091,0.303,-0.397,2.3197725282003945,-3.039437932988636
0.194,0.013910447761194033,0.11794256127960777,0.19629058614224004,0.08955223880597014,0.303,-0.397,2.5690471422074213,-3.366045265532496
0.175,0.011132352941176472,0.10550996607513657,0.19548290784052058,0.08823529411764706,0.303,-0.397,2.8717666327769007,-3.7626777333743555
0.143,0.008898550724637683,0.09433212986378334,0.19449232056799667,0.08695652173913043,0.303,-0.397,3.212055112479019,-4.208534256284391
0.009,0.008642857142857145,0.09296696802013683,0.19307503299843548,0.08571428571428572,0.303,-0.397,3.2592221350530606,-4.270333952528268
-0.159,0.010760563380281692,0.10373313540176876,0.19296482972503395,0.09859154929577464,0.303,-0.397,2.920956730233313,-3.8271281250911726
-0.291,0.01465277777777778,0.1210486587194496,0.19543786458114262,0.09722222222222222,0.303,-0.397,2.5031256290270254,-3.2796728538736937
-0.295,0.018493150684931507,0.13598952417348736,0.19813013781502894,0.0958904109589041,0.303,-0.397,2.2281128038469387,-2.919342518571732
-0.182,0.0207027027027027,0.14388433793399025,0.19861111062867817,0.0945945945945946,0.303,-0.397,2.105858110415097,-2.759160626517471
-0.075,0.021426666666666667,0.14637850479720943,0.1977474807256298,0.09333333333333334,0.303,-0.397,2.0699760557041595,-2.712146845262546
-0.031,0.02155263157894737,0.14680814547887786,0.1965618166988022,0.09210526315789473,0.303,-0.397,2.0639181770986568,-2.7042096247794283
-0.081,0.022324675324675324,0.14941444148634137,0.1958052753441259,0.09090909090909091,0.303,-0.397,2.0279164248503956,-2.657039012097713
-0.127,0.023666666666666666,0.153839743456191,0.19559980074448455,0.08974358974358974,0.303,-0.397,1.9695820676292626,-2.5806075275538527
-0.136,0.025088607594936706,0.15839383698533446,0.19554632526864202,0.08860759493670886,0.303,-0.397,1.912953216911176,-2.5064106505403863
-0.074,0.0257,0.16031219541881397,0.19479629103245266,0.0875,0.303,-0.397,1.8900620705019702,-2.4764179603606675
0.014,0.02520987654320988,0.15877618380352224,0.19346616457625915,0.09876543209876543,0.303,-0.397,1.9083466596914036,-2.500374996361344
0.069,0.0240609756097561,0.15511600694240457,0.1920525815523036,0.0975609756097561,0.303,-0.397,1.953376740238714,-2.5593748048672262
0.08,0.022807228915662652,0.15102062414009104,0.19068706632911786,0.0963855421686747,0.303,-0.397,2.0063484820386424,-2.6287800243212573
0.084,0.021535714285714287,0.146750517156548,0.189372941492146,0.09523809523809523,0.303,-0.397,2.064728669247352,-2.7052715567366294
0.104,0.020058823529411764,0.14162917612346604,0.18814762296580217,0.09411764705882353,0.303,-0.397,2.1393896956362863,-2.803094749728072
0.155,0.01802325581395349,0.13425071997554983,0.18721310266256783,0.09302325581395349,0.303,-0.397,2.2569711362083074,-2.957153600906594
0.202,0.01549425287356322,0.12447591282478397,0.18673993098217187,0.09195402298850575,0.303,-0.397,2.4342058887048443,-3.1893720719994167
0.21,0.012931818181818183,0.11371815238482458,0.1864573198565805,0.09090909090909091,0.303,-0.397,2.6644822629076996,-3.491087321367514
0.179,0.010775280898876406,0.10380405049359301,0.18597841735196677,0.0898876404494382,0.303,-0.397,2.9189612405221292,-3.8245135725652983
0.145,0.009044444444444445,0.09510228411791403,0.1853057693331434,0.08888888888888889,0.303,-0.397,3.186043351222992,-4.174452839721215
0.061,0.008274725274725276,0.09096551695409243,0.1842945445996231,0.08791208791208792,0.303,-0.397,3.3309325351596146,-4.3642911434269545
-0.087,0.009130434782608696,0.09555330859059091,0.18364227678371406,0.09782608695652174,0.303,-0.397,3.1710047979420386,-4.154748860669932
-0.236,0.01156989247311828,0.10756343464727351,0.1847022484130929,0.0967741935483871,0.303,-0.397,2.816942402347138,-3.69084532584757
-0.294,0.014574468085106384,0.12072476168999624,0.1868460813767546,0.09574468085106383,0.303,-0.397,2.5098413594558195,-3.288472012224292
